Golden Leaf Strut ,(Mare-Roppolo)
She’s Cryin‘ For Me ,(Pecora) 
She’s Cryin‘ For Me ,(Pecora)
Everybody Loves Somebody Blues ,(Long-Mares-Pecora) 
Everybody Loves Somebody Blues ,(Long-Mares-Pecora) 
,
,
New Orleans Jazz (1924-25),
Panama ,(Tyers) 
Nobody Knows Blues ,(De Droit-McNamara) 
New Orleans Blues ,(De Droit) 
The Swing ,(De Droit) 
Brown Eyes ,(De Droit) 
Number Two Blues ,(De Droit) 
Frankie And Johnny ,(Trad.) 
Pianoflage ,(Bargy) 
Sensation Rag ,(Edwards) 
Christine ,(Loposer-Murphy) 
I Wonder Where My Easy Rider’s Riding Now ,(Bayersdorffer-Brown)
The Waffle Man’s Call ,(Loyocano-Scaglioni) 
Pussy Cat Rag ,(Brunies-Cordella-Marcour) 
Barataria ,(Eastwood-Adde) 
I’m Afraid To Care For You ,(Frank-Owen) 
That’s A Plenty ,(Pollack-Gilbert) 
Cabaret Echoes ,(Parenti) 
Dirty Rag ,(unknown) 
Original Tuxedo Rag ,(Trad.) 
Careless Love ,(Handy) 
Black Rag ,(Ridgely) 
Dizzy Lizzie ,(Parenti-Lubowski) 
French Market Blues ,(Parenti-Lubowski) 
,
,
 Jelly Roll Morton Groups (1923-26),
Big Fat Ham ,(Morton)
Big Fat Ham ,(Morton)
Muddy Water Blues ,(Morton)
Some Day Sweetheart ,(Morton-Spike-Spike)
London Blues ,(Morton)
Mr. Jelly Roll ,(Morton)
Steady Roll ,(Stitzel)
Fish Tail Blues ,(Morton)
High Society ,(Steele)
Weary Blues ,(Matthews)
Tiger Rag ,(LaRocca)
My Gal ,(Melrose)
Wolverine Blues ,(Morton-Spike-Spike)
Mr. Jelly Lord ,(Morton)
Soap Suds ,(Martin)
Black Bottom Stomp ,(Morton)
Smoke House Blues ,(Morton)
The Chant ,(Stitzel)
The Chant ,(Stitzel)
Sidewalk Blues ,(Morton)
Sidewalk Blues ,(Morton)
Dead Man Blues ,(Morton)
Dead Man Blues ,(Morton)
Steamboat Stomp ,(Morton)
,
,
Jelly Roll Morton (1926-27),
Someday Sweetheart ,(Spikes-Spikes-Morton) 
Someday Sweetheart ,(Spikes-Spikes-Morton)
Grandpa’s Spells ,(Morton)
Grandpa’s Spells ,(Morton)
Original Jelly Roll Blues ,(Morton)
Original Jelly Roll Blues ,(Morton) 
Dr. Jazz ,(Morton) 
Cannon Ball Blues ,(Morton)
Cannon Ball Blues ,(Morton) 
Hyena Stomp ,(Morton) 
Hyena Stomp ,(Morton)
Billy Goat Stomp ,(Morton) 
Billy Goat Stomp ,(Morton) 
Wild Man Blues ,(Morton-Armstrong)
Wild Man Blues ,(Morton-Armstrong)
Jungle Blues ,(Morton)
Jungle Blues ,(Morton)
Beale Street Blues ,(Handy)
Beale Street Blues ,(Handy)
The Pearls ,(Morton)
The Pearls ,(Morton) 
,
,
Jelly Roll Morton (1928-29),
Midnight Mama ,(Morton) 
Mr. Jelly Lord ,(Morton) 
Georgia Swing ,(Morton-Pecora)
Kansas City Stomps ,(Morton) 
Shoe Shiner’s Drag ,(Morton) 
Boogaboo ,(Morton) 
Shreveport ,(Morton) 
Shreveport ,(Morton)
Mournful Serenade ,(Oliver)
Red Hot Pepper ,(Morton)
Deep Creek,(Morton) 
Burnin’ The Iceberg ,(Morton) 
Burnin’ The Iceberg ,(Morton) 
Courthouse Bump ,(Morton)
Courthouse Bump ,(Morton) 
Pretty Lil ,(Morton) 
Pretty Lil ,(Morton)
Sweet Aneta Mine ,(Morton)
Sweet Aneta Mine ,(Morton)
New Orleans Bump ,(Morton) 
New Orleans Bump ,(Morton)
Down My Way ,(Morton) 
Try Me Out ,(Morton) 
Tank Town Bump ,(Morton) 
Tank Town Bump ,(Morton) 
,
,
Louis Armstrong 1924 Vol. 1,
Manda ,(Sissle-Blake)
"Go Long, Mule ",(Creamer-King)
Tell Me Dreamy Eyes ,(Kahn-Spitalny-Gordon) 
My Rose Mary ,(DeSylva-Henderson-King) 
"Don't Forget, You'll Regret ",(Dowell)
Shanghai Shuffle ,(Rodemich-Conley) 
Texas Moaner Blues ,(Barnes-Williams)
Early In The Morning ,(Higgins-Overstreet) 
