solo_id,medium_title,band_name,leader_name,track_title,line_up,instrument,recording_year,performer_new,instrument_corrected
AQAMwUn2aVmSBNKpHBGZH54oHk-cPMOP_0.03.28.097959-0.04.56.009795,,The Crusaders,,Another blues,"Buster Williams (b), Joe Sample (p), Stix Hooper (other, dr), Wayne Henderson (tb), Wilton Felder (ts)",as,1970,Wilton Felder,ts
AQAN-RKZbNGY4MeP_yhcKti-I4saQRfW_0.03.18.057705-0.04.28.060843,,Frank Rosolino,Frank Rosolino,Violets,Jerry van Rooyen (other),tb,1973,Frank Rosolino,
AQAN-RKZbNGY4MeP_yhcKti-I4saQRfW_0.06.17.073061-0.07.13.089387,,Frank Rosolino,Frank Rosolino,Violets,Jerry van Rooyen (other),tb,1973,Frank Rosolino,
AQANDMmjaIomIbmU6mj-YA8rPBlcKTUe_0.02.25.007827-0.03.49.035510,,Kenny Burrell,Kenny Burrell,I let a song go out of my heart,"Gary Bartz (as), George Mraz (b), Kenny Burrell (g), Nat Adderley (cor), Philly Joe Jones (dr), Quentin Jackson (tb), Sir Roland Hanna (p)",tp,1976,Nat Adderley,cor
AQANR0zCLJmYDE3SLMePH79Q-kFCckfI_0.01.45.013995-0.03.36.040997,,Volker Kriegel,Volker Kriegel,Django,"Dieter Matschoss (dr), Helmut Kampe (b), Volker Kriegel (g)",vib,1963,Claudio Szenka,
AQANS0lSSRGTUNB5NA-NozKPTh3847vw_0.03.00.024489-0.03.59.015102,,Bobby Lewis,Bobby Lewis,Favela,"Arnie Roth (vln, other), Bobby Lewis (flg), Florentina Ramniceanu (vln), Jim Ryan (p, other), John Whitfield (b), Paul Wertico (dr)",tp,1993,Bobby Lewis,flg
AQANWFmSKxmTREGeFdOPBznD4xukPqhp_0.02.47.044489-0.03.53.027346,,Henry Threadgill,,Black hands bejewelled,"Diedre Murray (other), Fred Hopkins (b), Henry Threadgill (ts, cl, as), Rasul Siddik (tp), Reggie Nicholson (dr)",tb,1987,Frank Lacy,
AQANgqGSKMqsIhJ_4wefrKj9I8wO_U-I_0.01.26.059591-0.02.39.034693,,Bobby Lewis,Bobby Lewis,Little sunflower,"Arnie Roth (other, vln), Bobby Lewis (flg), Curtis Robinson (g), Florentina Ramniceanu (vln), Jim Ryan (p, other), Paul Wertico (dr)",tp,1993,Bobby Lewis,flg
AQANgqGSKMqsIhJ_4wefrKj9I8wO_U-I_0.02.39.034693-0.03.50.066122,,Bobby Lewis,Bobby Lewis,Little sunflower,"Arnie Roth (other, vln), Bobby Lewis (flg), Curtis Robinson (g), Florentina Ramniceanu (vln), Jim Ryan (p, other), Paul Wertico (dr)",ss,1993,Don Shelton,
AQANncsiLZKUCX9wH_h5hE-UKUgWVRFx_0.00.37.052344-0.03.50.071346,,Anthony Braxton,Anthony Braxton,You stepped out of a dream,"Anthony Braxton (fl, ss, bcl, as, cl, other), Dave Holland (b)",ts,1975,Anthony Braxton,
AQANtUySLEw4on-QOOGH_MEROtFuaNlP_0.01.48.001632-0.02.42.087346,,Dizzy Gillespie,Dizzy Gillespie,Walk on the wild side,,ts,1963,James Moody,
AQANtUySLEw4on-QOOGH_MEROtFuaNlP_0.02.42.087346-0.04.29.019183,,Dizzy Gillespie,Dizzy Gillespie,Walk on the wild side,,tp,1963,Dizzy Gillespie,
AQAO8ZlISoskKHT4IV9BSw_6a7iOw-dR_0.00.59.007156-0.02.31.020834,,Phil Woods,Phil Woods,Reet's neet,"Bill Goodwin (dr), Hal Galper (p), Phil Woods (as), Steve Gilmore (b)",ts,1981,Phil Woods,as
AQAO8ZlISoskKHT4IV9BSw_6a7iOw-dR_0.05.29.060000-0.05.39.019999,,Phil Woods,Phil Woods,Reet's neet,"Bill Goodwin (dr), Hal Galper (p), Phil Woods (as), Steve Gilmore (b)",ts,1981,Phil Woods,as
AQAO8ZlISoskKHT4IV9BSw_6a7iOw-dR_0.05.42.098775-0.05.49.077959,,Phil Woods,Phil Woods,Reet's neet,"Bill Goodwin (dr), Hal Galper (p), Phil Woods (as), Steve Gilmore (b)",ts,1981,Phil Woods,as
AQAO8ZlISoskKHT4IV9BSw_6a7iOw-dR_0.05.54.041632-0.06.00.068571,,Phil Woods,Phil Woods,Reet's neet,"Bill Goodwin (dr), Hal Galper (p), Phil Woods (as), Steve Gilmore (b)",ts,1981,Phil Woods,as
AQAO8ZlISoskKHT4IV9BSw_6a7iOw-dR_0.06.05.032244-0.06.12.044081,,Phil Woods,Phil Woods,Reet's neet,"Bill Goodwin (dr), Hal Galper (p), Phil Woods (as), Steve Gilmore (b)",ts,1981,Phil Woods,as
AQAO8ZlISoskKHT4IV9BSw_6a7iOw-dR_0.06.15.090204-0.06.22.056326,,Phil Woods,Phil Woods,Reet's neet,"Bill Goodwin (dr), Hal Galper (p), Phil Woods (as), Steve Gilmore (b)",ts,1981,Phil Woods,as
AQAO8ZlISoskKHT4IV9BSw_6a7iOw-dR_0.06.27.033061-0.06.33.086122,,Phil Woods,Phil Woods,Reet's neet,"Bill Goodwin (dr), Hal Galper (p), Phil Woods (as), Steve Gilmore (b)",ts,1981,Phil Woods,as
AQAO8ZlISoskKHT4IV9BSw_6a7iOw-dR_0.06.38.056326-0.06.44.080000,,Phil Woods,Phil Woods,Reet's neet,"Bill Goodwin (dr), Hal Galper (p), Phil Woods (as), Steve Gilmore (b)",ts,1981,Phil Woods,as
AQAO8ZlISoskKHT4IV9BSw_6a7iOw-dR_0.06.50.022040-0.06.56.009795,,Phil Woods,Phil Woods,Reet's neet,"Bill Goodwin (dr), Hal Galper (p), Phil Woods (as), Steve Gilmore (b)",ts,1981,Phil Woods,as
AQAOPsoUSlGybHgoDx_qHT4z4enxCFSe_0.01.20.052680-0.02.57.037142,,Gigi Gryce,Gigi Gryce,A night in Tunisia,"Eddie Costa (vib), Gigi Gryce (as), Julian Euell (b), Mickey Roker (dr), Richard Williams (tp), Richard Wyands (p)",ts,1961,Gigi Gryce,as
AQAO_0q26FSDI38Ofc1T8EN4pphyCj-P_0.01.28.032870-0.01.44.002539,,Oliver Lake,Oliver Lake,Palma,"Chris Beck (dr), Freddie Hendrix (tp), Jared Gold (org), Oliver Lake (fl, as)",ts,2013,Oliver Lake,as
AQAO_mIURaGSbPgetNuRLE6LPNVR62g-_0.01.38.048163-0.03.48.070204,,Kenny Garrett,Kenny Garrett,Gendai,"Charnett Moffett (b), Chris Dave (dr), Kenny Garrett (ss, as), Vernell Brown (p)",ts,2001,Kenny Garrett,as
AQAOe3KSJMykKdiTI2wuiEcW6cOPlYgp_0.04.13.077959-0.05.39.059183,,Oliver Lake,Oliver Lake,What I heard,"Chris Beck (dr), Freddie Hendrix (tp), Jared Gold (org), Oliver Lake (fl, as)",ts,2013,Oliver Lake,as
AQAOktSyiGmiBHmmI3nQ56gd9MrR4M2P_0.04.00.006530-0.05.21.056734,,McCoy Tyner,McCoy Tyner,Just feelin',"Al Foster (dr), Charles Fambrough (b), George Adams (ts), Guilherme Franco (other), John Blake (vln), McCoy Tyner (p)",ss,1979,Joe Ford,
AQAOstLFLNEiXCfOKMfz4Dl6eKGPUMmT_0.01.20.019591-0.03.51.096734,,Henry Threadgill,,Between orchids lilies blind eyes and cricket,"Brandon Ross (g), Gene Lake (dr), Henry Threadgill (as, fl), Marcus Rojas (other), Mark Taylor (flg), Masujaa (g)",ts,1994,Henry Threadgill,as
AQAP30omKUm2KYGrjInwa8SP7ENxPD_M_0.00.37.048571-0.02.58.041632,,Phil Woods,Phil Woods,I'm late,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ss,1976,Phil Woods,
AQAP30omKUm2KYGrjInwa8SP7ENxPD_M_0.05.07.075510-0.05.19.041224,,Phil Woods,Phil Woods,I'm late,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ss,1976,Phil Woods,
AQAP30omKUm2KYGrjInwa8SP7ENxPD_M_0.05.25.055102-0.05.32.080000,,Phil Woods,Phil Woods,I'm late,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ss,1976,Phil Woods,
AQAP30omKUm2KYGrjInwa8SP7ENxPD_M_0.05.37.092653-0.05.43.024897,,Phil Woods,Phil Woods,I'm late,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ss,1976,Phil Woods,
AQAP30omKUm2KYGrjInwa8SP7ENxPD_M_0.07.15.023482-0.08.22.057269,,Phil Woods,Phil Woods,I'm late,"Bill Goodwin (dr), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ss,1976,Phil Woods,
AQAP7pEWKVKSjEH1z_g2MHNk_MZzvKEw_0.03.22.084952-0.05.21.017841,,Ray Levier,Ray Levier,Bait tone blues,Mike Stern (g),ts,2007,David Binney,
AQAP7pEWKVKSjEH1z_g2MHNk_MZzvKEw_0.06.57.030612-0.07.07.016734,,Ray Levier,Ray Levier,Bait tone blues,Mike Stern (g),ts,2007,David Binney,
AQAP7pEWKVKSjEH1z_g2MHNk_MZzvKEw_0.07.36.009795-0.07.46.015510,,Ray Levier,Ray Levier,Bait tone blues,Mike Stern (g),ts,2007,David Binney,
AQAPk5umNEq2BPsL7RkeRjm8ZF1R6Tse_0.00.53.031301-0.03.31.085306,,Phil Woods,Phil Woods,If I should lose you,"Bill Goodwin (dr), Mike Melillo (p), Steve Gilmore (b), Zoot Sims (ts)",as,1976,Phil Woods,
AQAPvYmSSJKUSAmDP_Bx34Cf43zw4Y9x_0.00.43.036326-0.03.40.073469,,Art Pepper,Art Pepper,Avalon,"Art Pepper (as), Billy Higgins (dr), George Cables (p), Tony Dumas (other)",ts,1979,Warne Marsh,
AQAPvYmSSJKUSAmDP_Bx34Cf43zw4Y9x_0.05.50.062857-0.05.58.098775,,Art Pepper,Art Pepper,Avalon,"Art Pepper (as), Billy Higgins (dr), George Cables (p), Tony Dumas (other)",ts,1979,Warne Marsh,
AQAPvYmSSJKUSAmDP_Bx34Cf43zw4Y9x_0.06.06.088979-0.06.11.091836,,Art Pepper,Art Pepper,Avalon,"Art Pepper (as), Billy Higgins (dr), George Cables (p), Tony Dumas (other)",ts,1979,Warne Marsh,
AQAPvYmSSJKUSAmDP_Bx34Cf43zw4Y9x_0.06.15.005306-0.06.19.003673,,Art Pepper,Art Pepper,Avalon,"Art Pepper (as), Billy Higgins (dr), George Cables (p), Tony Dumas (other)",ts,1979,Warne Marsh,
AQAPvYmSSJKUSAmDP_Bx34Cf43zw4Y9x_0.06.22.043265-0.06.27.016734,,Art Pepper,Art Pepper,Avalon,"Art Pepper (as), Billy Higgins (dr), George Cables (p), Tony Dumas (other)",ts,1979,Warne Marsh,
AQAPvYmSSJKUSAmDP_Bx34Cf43zw4Y9x_0.06.38.013877-0.06.42.077551,,Art Pepper,Art Pepper,Avalon,"Art Pepper (as), Billy Higgins (dr), George Cables (p), Tony Dumas (other)",ts,1979,Warne Marsh,
AQAPvYmSSJKUSAmDP_Bx34Cf43zw4Y9x_0.07.26.030204-0.08.16.084897,,Art Pepper,Art Pepper,Avalon,"Art Pepper (as), Billy Higgins (dr), George Cables (p), Tony Dumas (other)",ts,1979,Warne Marsh,
AQAPyFuiKNkVxDKRPMeLq8kS9MIlH42-_0.01.55.046122-0.03.22.057959,,Joan Hickey,Joan Hickey,The man I love,"Dana Hall (dr), Dennis Carroll (b), Joan Hickey (p), John Wojciechowski (ts), Tito Carrillo (tp)",ss,2007,John Wojciechowski,
AQAQ0kl0KeUCHz-ejIafEP3xvPhSKriC_0.03.33.025206-0.05.38.008253,,Henry Threadgill,,Go to far,"Brandon Ross (g), Henry Threadgill (as, fl), Lewis (), Tony Cedras (other)",ts,1996,Henry Threadgill,as
AQAQ1aJSJdKUBd9RKtOHE_WUB19W9CGF_0.01.52.084897-0.04.50.093877,,Stan Kenton,,Hey Jude,,ts,1970," Richard Torres, Bob Crosby",
AQAQ1aJSJdKUBd9RKtOHE_WUB19W9CGF_0.05.12.094693-0.07.35.005306,,Stan Kenton,,Hey Jude,,tp,1970,"Dennis Noday,  Jim Kartchner,  Joe Ellis, Mike Vax, Warren Gale",
AQAQBlGjZMoiRD--6HjQJHnR1xqeoy9y_0.00.56.074956-0.02.42.063256,,Garry Lee,Garry Lee,Rock solid,"David Vrcic (other, dr), Don Gomes (tp, p), Garry Lee (other, g, vib), Murray Wilkins (b), Roger Garrood (fl, other), Victoria Newton (bcl, voc)",ts,1990,Roger Garrood,
AQAQBlGjZMoiRD--6HjQJHnR1xqeoy9y_0.07.43.009877-0.08.28.060988,,Garry Lee,Garry Lee,Rock solid,"David Vrcic (other, dr), Don Gomes (tp, p), Garry Lee (other, g, vib), Murray Wilkins (b), Roger Garrood (fl, other), Victoria Newton (bcl, voc)",ts,1990,Roger Garrood,
AQAQSUyWJdMyuEef4ccRDw1TQbuPHB8x_0.04.24.088163-0.05.18.004081,,Kenny Burrell,Kenny Burrell,Caravan,"Joe Henderson (ts), Jon Faddis (tp), Mel Lewis (other), Richie Goldberg (other), Thad Jones (flg, tp)",ss,1975,Jerome Richardson,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.00.46.062566-0.04.36.089795,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.05.58.080816-0.06.08.037551,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.06.18.026938-0.06.27.041224,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.06.32.031020-0.06.37.012653,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.06.40.076734-0.06.46.061224,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.06.50.062857-0.06.55.041224,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.06.59.093469-0.07.04.093061,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.07.09.012653-0.07.14.039891,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.07.18.027664-0.07.23.080299,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.07.28.002902-0.07.33.013741,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQUlGUJEkS7YmCjNvxLbNSTB-aSQ8e_0.07.37.059564-0.07.42.054149,,Sonny Stitt,Sonny Stitt,Bernie's tune,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQaJyySeICbQ-arDp-3JiVrfgDJkey_0.01.54.041632-0.04.50.074285,,Sonny Stitt,Sonny Stitt,How high the moon,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQaJyySeICbQ-arDp-3JiVrfgDJkey_0.06.14.002702-0.06.20.066793,,Sonny Stitt,Sonny Stitt,How high the moon,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQaJyySeICbQ-arDp-3JiVrfgDJkey_0.06.27.091256-0.06.34.050702,,Sonny Stitt,Sonny Stitt,How high the moon,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQaJyySeICbQ-arDp-3JiVrfgDJkey_0.06.41.028725-0.06.44.030585,,Sonny Stitt,Sonny Stitt,How high the moon,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQaJyySeICbQ-arDp-3JiVrfgDJkey_0.06.47.097460-0.06.51.031827,,Sonny Stitt,Sonny Stitt,How high the moon,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQaJyySeICbQ-arDp-3JiVrfgDJkey_0.06.54.098702-0.06.58.065578,,Sonny Stitt,Sonny Stitt,How high the moon,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQaJyySeICbQ-arDp-3JiVrfgDJkey_0.07.02.064961-0.07.07.071156,,Sonny Stitt,Sonny Stitt,How high the moon,"Art Pepper (as), Carl Burnett (dr), Chuck Domanico (b), Lou Levy (p)",ts,1980,Sonny Stitt,
AQAQz-KXKFJwhMoOR0tOmNmO__BR_cQl_0.00.00.013931-0.00.44.021224,,Miles Davis,Miles Davis,Directions,,tp,1970,Miles Davis,
AQAQz-KXKFJwhMoOR0tOmNmO__BR_cQl_0.02.47.044489-0.03.27.015102,,Miles Davis,Miles Davis,Directions,,tp,1970,Miles Davis,
AQAQz-KXKFJwhMoOR0tOmNmO__BR_cQl_0.03.27.015102-0.06.00.037369,,Miles Davis,Miles Davis,Directions,,ss,1970,Gary Bartz,
AQARmUryaFGiJIKTH0mp9Mgz44GfFYzf_0.03.30.037278-0.04.41.051873,,Peter Appleyard,Peter Appleyard,After you've gone,"Bobby Hackett (cor), Hank Jones (p), Mel Lewis (dr), Peter Appleyard (vib), Slam Stewart (b), Urbie Green (tb), Zoot Sims (ts)",tp,1974,Bobby Hackett,cor
AQARmUryaFGiJIKTH0mp9Mgz44GfFYzf_0.06.59.063102-0.08.08.042448,,Peter Appleyard,Peter Appleyard,After you've gone,"Bobby Hackett (cor), Hank Jones (p), Mel Lewis (dr), Peter Appleyard (vib), Slam Stewart (b), Urbie Green (tb), Zoot Sims (ts)",voc,1974,Slam Stewart,
AQARmUryaFGiJIKTH0mp9Mgz44GfFYzf_0.08.21.061632-0.08.25.053469,,Peter Appleyard,Peter Appleyard,After you've gone,"Bobby Hackett (cor), Hank Jones (p), Mel Lewis (dr), Peter Appleyard (vib), Slam Stewart (b), Urbie Green (tb), Zoot Sims (ts)",tp,1974,Bobby Hackett,cor
AQAS1iKVKH2wPQp-lD8aJtFwKR_4iHiu_0.03.49.059891-0.06.13.000535,,Stan Kenton,,Granada,,tp,1970,"Dennis Noday,  Jim Kartchner,  Joe Ellis, Mike Vax, Warren Gale",
AQAS3VxEZUknXIGf4jnyqE2RHOt8MHkY_0.03.40.031092-0.05.51.008571,,Pete Jolly,Pete Jolly,Night and day,"Art Pepper (as), Bob Magnusson (b), Pete Jolly (p), Roy McCurdy (dr)",ts,1980,Art Pepper,as
AQAS3VxEZUknXIGf4jnyqE2RHOt8MHkY_0.06.59.067746-0.07.05.052888,,Pete Jolly,Pete Jolly,Night and day,"Art Pepper (as), Bob Magnusson (b), Pete Jolly (p), Roy McCurdy (dr)",ts,1980,Art Pepper,as
AQAS3VxEZUknXIGf4jnyqE2RHOt8MHkY_0.07.10.086947-0.07.16.058158,,Pete Jolly,Pete Jolly,Night and day,"Art Pepper (as), Bob Magnusson (b), Pete Jolly (p), Roy McCurdy (dr)",ts,1980,Art Pepper,as
AQAS3VxEZUknXIGf4jnyqE2RHOt8MHkY_0.07.21.017913-0.07.26.061260,,Pete Jolly,Pete Jolly,Night and day,"Art Pepper (as), Bob Magnusson (b), Pete Jolly (p), Roy McCurdy (dr)",ts,1980,Art Pepper,as
AQAS3VxEZUknXIGf4jnyqE2RHOt8MHkY_0.07.32.083555-0.07.37.047954,,Pete Jolly,Pete Jolly,Night and day,"Art Pepper (as), Bob Magnusson (b), Pete Jolly (p), Roy McCurdy (dr)",ts,1980,Art Pepper,as
AQAS3VxEZUknXIGf4jnyqE2RHOt8MHkY_0.07.42.086657-0.07.48.090376,,Pete Jolly,Pete Jolly,Night and day,"Art Pepper (as), Bob Magnusson (b), Pete Jolly (p), Roy McCurdy (dr)",ts,1980,Art Pepper,as
AQAS3VxEZUknXIGf4jnyqE2RHOt8MHkY_0.07.54.001215-0.07.58.014530,,Pete Jolly,Pete Jolly,Night and day,"Art Pepper (as), Bob Magnusson (b), Pete Jolly (p), Roy McCurdy (dr)",ts,1980,Art Pepper,as
AQAS3VxEZUknXIGf4jnyqE2RHOt8MHkY_0.09.02.041814-0.09.56.047419,,Pete Jolly,Pete Jolly,Night and day,"Art Pepper (as), Bob Magnusson (b), Pete Jolly (p), Roy McCurdy (dr)",ts,1980,Art Pepper,as
AQASFdTyKaESFN_y4HvgKcJ9NDJLxEbC_0.01.20.043392-0.04.24.033596,,Branford Marsalis,,My ideal,"Eric Revis (b), Joey Calderazzo (p), Justin Faulkner (dr)",ts,2011,Branford Marsalis,
AQASGNITKyNu9DTy4lEQng_GPEclK7Bz_0.01.12.009795-0.03.23.040680,,Garry Lee,Garry Lee,Heartvelt,,ss,1990,Roger Garrood,
AQASGNITKyNu9DTy4lEQng_GPEclK7Bz_0.03.41.042548-0.05.31.002367,,Garry Lee,Garry Lee,Heartvelt,,vib,1990,Garry Lee,
AQATaVMSSrqUwEGP0D-0PNGDH4-UHdfR_0.00.50.052662-0.02.37.033841,,Phil Woods,Phil Woods,Just a mood,"Bill Goodwin (dr), Brian Lynch (tp), Jim McNeely (p), Phil Woods (as), Steve Gilmore (b)",cl,1992,Phil Woods,
AQAUhZIadYo0PHvQxMdPOMrGonxW9LME_0.06.31.031428-0.08.59.029795,,Miroslav Vitous,Miroslav Vitous,Freedom jazz dance,"Herbie Hancock (p), Jack DeJohnette (dr), John McLaughlin (g), Miroslav Vitous (b)",ts,1969,Joe Henderson,
AQAVN1IWJZGSSFmCvsMvocngM7iUREeT_0.02.50.031836-0.05.14.061877,,Dr. Lonnie Smith,,Son of ice bag,"Lee Morgan (tp), Marion Booker (dr), Melvin Sparks (g)",ts,1968,David Newman ,
AQAWeFG6MUqUQTfuHUwewCfuIz3g44El_0.02.25.055428-0.04.48.039183,,Cedar Walton,Cedar Walton,My foolish heart,"Billy Higgins (dr), Buster Williams (b), Cedar Walton (p)",vib,1982,Bobby Hutcherson,
AQAWeFG6MUqUQTfuHUwewCfuIz3g44El_0.06.59.090965-0.08.06.064380,,Cedar Walton,Cedar Walton,My foolish heart,"Billy Higgins (dr), Buster Williams (b), Cedar Walton (p)",vib,1982,Bobby Hutcherson,
AQAWeFG6MUqUQTfuHUwewCfuIz3g44El_0.09.28.042448-0.11.44.020564,,Cedar Walton,Cedar Walton,My foolish heart,"Billy Higgins (dr), Buster Williams (b), Cedar Walton (p)",vib,1982,Bobby Hutcherson,
AQAbtosXZaYw5UOf43rwZ8GTaBRRHzc7_0.00.00.026122-0.04.17.064861,,Miles Davis,Miles Davis,It's about that time,,tp,1970,Miles Davis,
AQAbtosXZaYw5UOf43rwZ8GTaBRRHzc7_0.04.17.064861-0.08.17.009278,,Miles Davis,Miles Davis,It's about that time,,ts,1970,Gary Bartz,
AQAcmUqUMGlEJcITY_dxKcZ1IX2E5A-u_0.03.05.057464-0.04.45.052020,,Miles Davis,Miles Davis,What I say ?,John McLaughlin (g),tp,1970,Miles Davis,
AQAcmUqUMGlEJcITY_dxKcZ1IX2E5A-u_0.04.45.052020-0.07.13.035596,,Miles Davis,Miles Davis,What I say ?,John McLaughlin (g),ss,1970,Gary Bartz,
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.01.58.059591-0.04.32.019591,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.12.51.083129-0.13.35.085632,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.13.40.003591-0.13.45.033006,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.13.49.027746-0.13.54.010721,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.13.58.056544-0.14.03.058095,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.07.034258-0.14.13.024045,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.16.067700-0.14.22.052843,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.26.047582-0.14.32.000217,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.35.081024-0.14.41.056879,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.44.091247-0.14.47.079174,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
AQAfd2IvLsih9kKuPAnWB9R3PMet4MyO_0.14.49.023138-0.14.52.015709,,Phil Woods,Phil Woods,Song for Sisyphus,"Bill Goodwin (dr), Harry Leahey (g), Mike Melillo (p), Phil Woods (as), Steve Gilmore (b)",ts,1977,Phil Woods,as
