solo_id,medium_title,band_name,leader_name,track_title,line_up,instrument,recording_year,performer_new,instrument_corrected
AQAH2Y6Wy7gJ7PiKXMUf_NCuw9LOISes_0.01.20.006530-0.02.11.014630,,Clifford Jordan,Clifford Jordan,Prayer to the people,"Billy Higgins (dr), Cedar Walton (p), Clifford Jordan (ts), Sam Jones (b)",as,1973,Clifford Jordan,ts
AQAHH9EohcnGoPzRhHzwJFmO82j0HCX0_0.01.11.037959-0.02.03.068979,,Air,,King Porter stomp,,ts,1979,Henry Threadgill,
AQAHH9EohcnGoPzRhHzwJFmO82j0HCX0_0.02.44.070204-0.03.38.097142,,Air,,King Porter stomp,,ts,1979,Henry Threadgill,
AQAHJEmiaGGShAtyhL9gNk-C48YP50P9_0.01.48.040816-0.03.48.096326,,Yellowjackets,,Silent night,"Bob Mintzer (ts), Jimmy Haslip (b), Marcus Baylor (dr), Russell Ferrante (other)",ss,2003,Bob Mintzer,
AQAHXUpSRSFDqMe1weoF6imG40FaFclv_0.00.38.087020-0.01.12.072489,,Garvin Bushell,Garvin Bushell,I want to be happy,"Garvin Bushell (other, cl), Ray Skjelbred (p), Richard Hadlock (ss), Stu Wilson (b)",as,1982,Richard Hadlock,ss
AQAHXUpSRSFDqMe1weoF6imG40FaFclv_0.01.12.072489-0.01.44.039691,,Garvin Bushell,Garvin Bushell,I want to be happy,"Garvin Bushell (other, cl), Ray Skjelbred (p), Richard Hadlock (ss), Stu Wilson (b)",ts,1982,Garvin Bushell,other
AQAHXUpSRSFDqMe1weoF6imG40FaFclv_0.01.44.039691-0.02.15.083673,,Garvin Bushell,Garvin Bushell,I want to be happy,"Garvin Bushell (other, cl), Ray Skjelbred (p), Richard Hadlock (ss), Stu Wilson (b)",tp,1982, Leon Oakley,cor
AQAHeosXLeLwLAr846ky_PiDPRqabTqS_0.02.40.081269-0.03.04.084825,Dizzy Gillespie & Charlie Parker Vol. 2 (1945),Red Norvo And His Selected Sextet,Red Norvo,Hallelujah,"Charlie Parker (as), Dizzy Gillespie (tp), Flip Philips (ts), Red Norvo (vib), Slam Stewart (b), Specs Powell (dr), Teddy Wilson (p)",voc,1945,Slam Stewart,
AQAHqMrCSIsSJUQfHv4HfipCHnqy4zoC_0.01.07.001278-0.01.35.052689,,Maynard Ferguson,Maynard Ferguson,September moan,,ts,1962,Don Menza,
AQAHqMrCSIsSJUQfHv4HfipCHnqy4zoC_0.01.50.024834-0.02.26.044897,,Maynard Ferguson,Maynard Ferguson,September moan,,ts,1962,Don Menza,
