












"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Henry Ragas (p), Tony Sbarbaro (d)."



"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d)."
"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d)."
