Track,CD,Boxnumber,Title,Composer,Artist,Aufnahmeort,Aufnahmedatum,Besetzung,
,,,,,,,,,
,,,,,,,,,
Jazz Roads – Classic Jazz – 232093,,,,,,,,,
,,,,,,,,,
5,2,232093,Look At 'Em Doing It ,(Shields) ,Original Dixieland Jazz Band,London,19/05/1919,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d).",
6,2,232093,Tiger Rag ,(ODJB) ,Original Dixieland Jazz Band,London,19/05/1919,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d).",
7,2,232093,Satanic Blues ,(Shields-Christian) ,Original Dixieland Jazz Band,London,13/08/1919,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d).",
8,2,232093,Lasses Candy ,(LaRocca),Original Dixieland Jazz Band,London,13/08/1919,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), J. Russel Robinson (p), Tony Sbarbaro (d).",
9,2,232093,My Baby's Arms ,(Tierney-McCarthy) ,Original Dixieland Jazz Band,London,08/01/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
10,2,232093,Tell Me ,(Kortlander) ,Original Dixieland Jazz Band,London,08/01/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
11,2,232093,I've Got My Captain Working For Me ,(Berlin) ,Original Dixieland Jazz Band,London,08/01/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
12,2,232093,I'm Forever Blowing Bubbles (w) ,(Kenbrovin-Kellette) ,Original Dixieland Jazz Band,London,10/01/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
13,2,232093,Mammy O'Mine ,(Pinkard) ,Original Dixieland Jazz Band,London,10/01/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
14,2,232093,I've Lost My Heart In Dixieland ,(Berlin) ,Original Dixieland Jazz Band,London,10/01/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
15,2,232093,Sphinx ,(Barbour) ,Original Dixieland Jazz Band,London,14/05/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
16,2,232093,Alice Blue Gown (w) ,(Tierney-McCarthy) ,Original Dixieland Jazz Band,London,14/05/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
17,2,232093,Soudan ,(Sebek) ,Original Dixieland Jazz Band,London,14/05/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
18,2,232093,Margie ,(Conrad-Robinson) ,Original Dixieland Jazz Band,New York,01/12/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
19,2,232093,Palesteena ,(Conrad-Robinson) ,Original Dixieland Jazz Band,New York,04/12/1920,"Nick LaRocca (c), Emile Christian (tb), Larry Shields (cl), Billy Jones (p), Tony Sbarbaro (d).",
20,2,232093,Broadway Rose (intro: Dolly I Love You) ,(West-Fried-Spencer-Arden-Wadworth) ,Original Dixieland Jazz Band,New York,30/12/1920,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Benny Krueger (as), J. Russell Robinson (p), Tony Sbarbaro (d).",
21,2,232093,"Strut, Miss Lizzie (intro) / Sweet Mamma",(Creamer-Layton/Rose-Little-Frost) ,Original Dixieland Jazz Band,New York,30/12/1920,"Nick LaRocca (c), Eddie Edwards (tb), Larry Shields (cl), Benny Krueger (as), J. Russell Robinson (p), Tony Sbarbaro (d).",
,,,,,,,,,
,,,,,,,,,
CD 3,,,King Oliver's Creole Jazz Band,,,,,,
1,3,232093,Just Gone ,(Oliver-Johnson) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",05/04/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil Armstrong (p), Bud Scott (bj), Baby Dodds (d).",
2,3,232093,Canal Street Blues ,(Oliver-Armstrong) ,King Oliver's Creole Jazz Band,"Richmond, Indiana",05/04/1923,"Joe 'King' Oliver, Louis Armstrong (c), Honoré Dutrey (tb), Johnny Dodds (cl), Lil Armstrong (p), Bud Scott (bj), Baby Dodds (d).",
